,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,66.99,89,0,1.01,ZA,1612296107
1,mansa,29.9833,75.3833,54.97,42,0,5.32,IN,1612296108
2,talnakh,69.4865,88.3972,-10.71,83,100,6.24,RU,1612296110
3,ushuaia,-54.8,-68.3,53.6,82,75,14.97,AR,1612296112
4,ukiah,39.1502,-123.2078,53.6,66,90,3.44,US,1612296002
5,lebu,-37.6167,-73.65,62.76,67,44,14.14,CL,1612296114
6,nikolskoye,59.7035,30.7861,24.8,86,90,6.71,RU,1612296115
7,faya,18.3851,42.4509,60.8,72,0,2.66,SA,1612296116
8,dingle,10.9995,122.6711,73.74,92,100,8.21,PH,1612296118
9,saint george,37.1041,-113.5841,60.8,41,75,6.91,US,1612295860
10,dobson,36.3957,-80.7226,35.6,64,90,16.11,US,1612296121
11,honningsvag,70.9821,25.9704,28.4,69,75,31.07,NO,1612296122
12,qaanaaq,77.484,-69.3632,-7.6,85,100,4.45,GL,1612296123
13,punta arenas,-53.15,-70.9167,69.8,49,40,22.88,CL,1612295871
14,aklavik,68.2191,-135.0107,-25.6,68,40,4.61,CA,1612296126
15,atar,20.5169,-13.0499,76.33,16,0,9.82,MR,1612296127
16,huarmey,-10.0681,-78.1522,75.54,65,4,11.05,PE,1612296128
17,cardston,49.2,-113.3019,42.8,56,6,11.5,CA,1612296129
18,ribeira grande,38.5167,-28.7,53.6,71,40,23.02,PT,1612296130
19,tiksi,71.6872,128.8694,-0.67,93,100,15.43,RU,1612296131
20,spremberg,51.5697,14.3736,37.0,90,100,1.01,DE,1612296132
21,rikitea,-23.1203,-134.9692,77.97,76,50,14.52,PF,1612296133
22,saint-philippe,-21.3585,55.7679,80.6,78,0,2.3,RE,1612296135
23,puerto ayora,-0.7393,-90.3518,84.2,65,0,17.27,EC,1612296136
24,faanui,-16.4833,-151.75,81.34,74,6,14.54,PF,1612296137
25,iqaluit,63.7506,-68.5145,-18.4,63,75,5.75,CA,1612296138
26,atuona,-9.8,-139.0333,77.92,81,3,17.49,PF,1612296139
27,fortuna,40.5982,-124.1573,53.01,81,1,3.83,US,1612296110
28,imeni babushkina,59.7573,43.1285,15.51,97,99,6.08,RU,1612296141
29,quatre cocos,-20.2078,57.7625,80.6,78,40,11.5,MU,1612296143
30,khatanga,71.9667,102.5,-29.74,84,38,8.99,RU,1612296145
31,bluff,-46.6,168.3333,58.6,87,100,7.54,NZ,1612296146
32,sisimiut,66.9395,-53.6735,-5.49,82,0,12.08,GL,1612296147
33,cidreira,-30.1811,-50.2056,80.64,75,0,11.21,BR,1612296148
34,tuktoyaktuk,69.4541,-133.0374,-31.0,68,20,6.91,CA,1612296149
35,vaini,-21.2,-175.2,77.0,100,90,10.36,TO,1612296150
36,molina,-35.1167,-71.2833,80.6,39,0,5.75,CL,1612296151
37,hambantota,6.1241,81.1185,77.86,77,23,18.52,LK,1612296152
38,deputatskiy,69.3,139.9,-22.83,88,100,3.15,RU,1612296154
39,mar del plata,-38.0023,-57.5575,69.01,88,90,8.05,AR,1612296155
40,owando,-0.4819,15.8999,79.05,71,34,3.11,CG,1612296156
41,arlit,18.7369,7.3853,70.59,20,0,10.63,NE,1612296157
42,gamba,-2.65,10.0,78.08,84,10,4.92,GA,1612296159
43,ketchikan,55.3422,-131.6461,35.6,93,75,4.61,US,1612296160
44,bethel,41.3712,-73.414,32.0,86,90,10.36,US,1612296162
45,kamaishi,39.2667,141.8833,22.21,86,0,6.08,JP,1612296164
46,tuatapere,-46.1333,167.6833,60.08,82,100,3.33,NZ,1612296166
47,kenora,49.8167,-94.4337,21.2,79,90,12.66,CA,1612295885
48,santa lucia,27.9117,-15.5407,66.0,82,20,11.5,ES,1612296168
49,port elizabeth,-33.918,25.5701,69.8,83,40,9.22,ZA,1612296169
50,calama,-22.4667,-68.9333,77.0,14,0,20.71,CL,1612296170
51,oktyabrskoye,43.0645,44.7417,26.6,93,11,6.71,RU,1612296172
52,antofagasta,-23.65,-70.4,73.0,64,40,19.57,CL,1612296174
53,chokurdakh,70.6333,147.9167,-5.48,89,87,11.16,RU,1612296175
54,tambura,5.6,27.4667,80.01,26,62,2.82,SS,1612296177
55,eenhana,-17.4667,16.3333,82.4,30,70,1.14,NA,1612296178
56,upernavik,72.7868,-56.1549,-7.58,87,100,5.7,GL,1612296179
57,klaksvik,62.2266,-6.589,37.4,70,20,14.97,FO,1612296180
58,barrow,71.2906,-156.7887,-22.0,76,1,12.66,US,1612296181
59,ashland,40.8167,-82.2665,27.0,74,90,17.27,US,1612295966
60,victoria,22.2855,114.1577,63.0,81,78,1.99,HK,1612295903
61,bengkulu,-3.8004,102.2655,75.22,89,100,5.86,ID,1612296185
62,cape town,-33.9258,18.4232,71.01,83,0,17.27,ZA,1612296184
63,bredasdorp,-34.5322,20.0403,64.4,77,0,2.3,ZA,1612296187
64,bangaon,23.0667,88.8167,59.0,67,0,4.59,IN,1612296188
65,tucuma,-0.1833,-50.05,80.51,84,100,8.68,BR,1612296189
66,wichita falls,33.9137,-98.4934,64.99,27,1,14.97,US,1612296124
67,mirnyy,62.5353,113.9611,-36.89,81,99,9.86,RU,1612296193
68,mahebourg,-20.4081,57.7,80.6,78,40,11.5,MU,1612295940
69,touros,-5.1989,-35.4608,82.4,65,40,17.27,BR,1612296195
70,shenjiamen,29.9576,122.298,44.53,71,3,6.93,CN,1612296196
71,busselton,-33.65,115.3333,66.0,89,10,4.0,AU,1612296169
72,port hardy,50.6996,-127.4199,41.0,93,75,4.61,CA,1612296005
73,erzin,36.9559,36.2,57.0,70,100,13.0,TR,1612296199
74,leh,34.1667,77.5833,7.52,65,99,0.65,IN,1612296200
